epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1129.99,0.38459,0.3675,0.87687,0.99804,1,0.995,0.93548,0.30941,0.31301,0.82945,0.0011288,0.0011288,0.0011288
46,1150.66,0.38185,0.35885,0.84142,0.99762,1,0.995,0.96157,0.27877,0.30289,0.81822,0.001109,0.001109,0.001109
47,1170.93,0.40791,0.36346,0.89704,0.99791,1,0.995,0.95283,0.30018,0.31481,0.81743,0.0010892,0.0010892,0.0010892
48,1191.26,0.37929,0.36406,0.87394,0.99797,1,0.995,0.97283,0.2761,0.3075,0.81686,0.0010694,0.0010694,0.0010694
49,1211.59,0.43044,0.38865,0.8816,0.99792,1,0.995,0.98971,0.2476,0.31964,0.8075,0.0010496,0.0010496,0.0010496
50,1231.85,0.36797,0.36795,0.85314,0.99807,1,0.995,0.99071,0.24863,0.31054,0.80283,0.0010298,0.0010298,0.0010298
51,1251.78,0.37483,0.35517,0.8603,0.99801,1,0.995,0.97944,0.25208,0.29684,0.8067,0.00101,0.00101,0.00101
52,1272.03,0.36861,0.35983,0.87546,0.9981,1,0.995,0.97602,0.24495,0.31367,0.7983,0.0009902,0.0009902,0.0009902
53,1292.09,0.37116,0.34293,0.87677,0.99804,1,0.995,0.97448,0.26902,0.30569,0.80421,0.0009704,0.0009704,0.0009704
54,1316.55,0.34814,0.3318,0.8567,0.99816,1,0.995,0.97528,0.2933,0.28702,0.80795,0.0009506,0.0009506,0.0009506
55,1336.71,0.3379,0.32639,0.85918,0.99816,1,0.995,0.99021,0.27471,0.29444,0.807,0.0009308,0.0009308,0.0009308
56,1356.92,0.3723,0.33458,0.88688,0.99811,1,0.995,0.96986,0.27671,0.31476,0.80308,0.000911,0.000911,0.000911
57,1377.18,0.3436,0.31549,0.8479,0.9981,1,0.995,0.98487,0.2647,0.30468,0.80068,0.0008912,0.0008912,0.0008912
58,1397.22,0.37538,0.33477,0.87712,0.99811,1,0.995,0.98446,0.24241,0.2875,0.79585,0.0008714,0.0008714,0.0008714
59,1417.43,0.34103,0.319,0.83489,0.9981,1,0.995,0.96828,0.25515,0.28145,0.79913,0.0008516,0.0008516,0.0008516
60,1437.66,0.32582,0.31268,0.84329,0.99806,1,0.995,0.96833,0.27504,0.28902,0.8056,0.0008318,0.0008318,0.0008318
61,1458.48,0.32937,0.30988,0.85584,0.99803,1,0.995,0.9915,0.25925,0.26793,0.80466,0.000812,0.000812,0.000812
62,1478.92,0.3601,0.31423,0.86371,0.99812,1,0.995,0.98308,0.2574,0.25643,0.80478,0.0007922,0.0007922,0.0007922
63,1499.04,0.32572,0.3046,0.86245,0.99812,1,0.995,0.97156,0.26377,0.25289,0.80458,0.0007724,0.0007724,0.0007724
64,1519.4,0.34321,0.32629,0.87595,0.99815,1,0.995,0.98134,0.25368,0.25188,0.80018,0.0007526,0.0007526,0.0007526
65,1539.69,0.33768,0.31289,0.85994,0.9981,1,0.995,0.98031,0.23007,0.26314,0.79579,0.0007328,0.0007328,0.0007328
66,1560.03,0.33516,0.29782,0.8624,0.99812,1,0.995,0.995,0.21041,0.24501,0.79251,0.000713,0.000713,0.000713
67,1580.25,0.32025,0.28969,0.84107,0.99818,1,0.995,0.992,0.21472,0.24615,0.79325,0.0006932,0.0006932,0.0006932
68,1600.56,0.31696,0.29611,0.85157,0.99819,1,0.995,0.995,0.21376,0.24135,0.79311,0.0006734,0.0006734,0.0006734
69,1620.52,0.32007,0.30284,0.84681,0.9982,1,0.995,0.98455,0.22611,0.2404,0.79447,0.0006536,0.0006536,0.0006536
70,1640.2,0.33366,0.30156,0.85012,0.99818,1,0.995,0.98406,0.22637,0.22442,0.79563,0.0006338,0.0006338,0.0006338
71,1660.31,0.3129,0.29515,0.8486,0.99818,1,0.995,0.995,0.22572,0.24491,0.79573,0.000614,0.000614,0.000614
72,1680.14,0.32241,0.30859,0.85341,0.99814,1,0.995,0.995,0.2241,0.25776,0.7928,0.0005942,0.0005942,0.0005942
73,1699.78,0.33266,0.29868,0.85012,0.99815,1,0.995,0.97721,0.23661,0.25347,0.79442,0.0005744,0.0005744,0.0005744
74,1719.54,0.31078,0.28256,0.83769,0.99813,1,0.995,0.98907,0.21991,0.24613,0.79042,0.0005546,0.0005546,0.0005546
75,1739.27,0.30799,0.27626,0.8605,0.99807,1,0.995,0.995,0.20869,0.24481,0.78877,0.0005348,0.0005348,0.0005348
76,1759.29,0.3068,0.28703,0.84172,0.99812,1,0.995,0.995,0.21597,0.2357,0.7903,0.000515,0.000515,0.000515
77,1779.09,0.31361,0.27208,0.87012,0.99812,1,0.995,0.97969,0.21917,0.22914,0.793,0.0004952,0.0004952,0.0004952
78,1798.08,0.29549,0.27701,0.83436,0.99815,1,0.995,0.98957,0.21131,0.22798,0.79489,0.0004754,0.0004754,0.0004754
79,1817.07,0.31378,0.27382,0.86316,0.99812,1,0.995,0.98971,0.21998,0.22468,0.79751,0.0004556,0.0004556,0.0004556
80,1836.15,0.29711,0.26686,0.84825,0.99816,1,0.995,0.97852,0.23061,0.23503,0.79796,0.0004358,0.0004358,0.0004358
81,1855.2,0.29905,0.2668,0.85028,0.99813,1,0.995,0.98431,0.23023,0.2313,0.79667,0.000416,0.000416,0.000416
82,1874.32,0.28274,0.26159,0.84788,0.99816,1,0.995,0.995,0.21508,0.21972,0.79401,0.0003962,0.0003962,0.0003962
83,1893.15,0.28238,0.26037,0.84078,0.99815,1,0.995,0.98907,0.1984,0.20564,0.79175,0.0003764,0.0003764,0.0003764
84,1912.09,0.28141,0.26495,0.84864,0.99816,1,0.995,0.98893,0.19689,0.19635,0.7921,0.0003566,0.0003566,0.0003566
85,1931.14,0.2962,0.26418,0.85301,0.99817,1,0.995,0.99061,0.20776,0.19644,0.79373,0.0003368,0.0003368,0.0003368
86,1950.18,0.27655,0.25532,0.83784,0.99815,1,0.995,0.98907,0.21305,0.19733,0.79515,0.000317,0.000317,0.000317
87,1969.35,0.26525,0.24119,0.83352,0.99815,1,0.995,0.98193,0.20093,0.19454,0.79222,0.0002972,0.0002972,0.0002972
88,1988.03,0.28068,0.2514,0.84718,0.99818,1,0.995,0.995,0.19465,0.20129,0.79028,0.0002774,0.0002774,0.0002774
89,2007.24,0.28495,0.26264,0.84075,0.99816,1,0.995,0.995,0.18946,0.19703,0.78924,0.0002576,0.0002576,0.0002576
90,2026.08,0.25942,0.24605,0.83026,0.99814,1,0.995,0.995,0.18993,0.19981,0.78855,0.0002378,0.0002378,0.0002378
91,2045,0.2234,0.28755,0.78721,0.99814,1,0.995,0.995,0.19479,0.20337,0.78956,0.000218,0.000218,0.000218
92,2063.55,0.20541,0.23893,0.75451,0.99813,1,0.995,0.98855,0.19825,0.22823,0.78967,0.0001982,0.0001982,0.0001982
93,2082.18,0.20759,0.24166,0.76335,0.998,1,0.995,0.995,0.18613,0.25158,0.78713,0.0001784,0.0001784,0.0001784
94,2100.88,0.20384,0.24035,0.75649,0.99798,1,0.995,0.995,0.1785,0.24467,0.78549,0.0001586,0.0001586,0.0001586
95,2119.45,0.20464,0.2384,0.7741,0.9981,1,0.995,0.995,0.18586,0.23637,0.78565,0.0001388,0.0001388,0.0001388
96,2138.11,0.22249,0.22913,0.79293,0.99818,1,0.995,0.995,0.18999,0.22604,0.7855,0.000119,0.000119,0.000119
97,2156.94,0.19613,0.21565,0.78997,0.99818,1,0.995,0.995,0.1916,0.21983,0.78625,9.92e-05,9.92e-05,9.92e-05
98,2175.85,0.20947,0.21521,0.77893,0.99815,1,0.995,0.995,0.18905,0.20505,0.78668,7.94e-05,7.94e-05,7.94e-05
99,2194.59,0.20049,0.21215,0.76899,0.99818,1,0.995,0.995,0.18369,0.19239,0.78615,5.96e-05,5.96e-05,5.96e-05
100,2213.03,0.19718,0.21132,0.77033,0.99818,1,0.995,0.995,0.18152,0.1837,0.78584,3.98e-05,3.98e-05,3.98e-05
